"","citekey","library_id","model_id","feature_id","data_id","experiment_id","dimension","measure","values","statistic"
"32","agarwal2021an","not specified","SVR KMBSO","karaoke","NJUV1","1","classification","f1",0.9669,"mean"
"33","agarwal2021an","not specified","SVR KMBSO","lyrics","NJUV1","1","classification","specificity",0.957,"mean"
"34","agarwal2021an","not specified","SVR KMBSO","song","hindi","1","classification","fpr",0.975,"mean"
"35","agarwal2021an","not specified","SVR KMBSO","karaoke","hindi","1","classification","error",0.9546,"mean"
"36","agarwal2021an","not specified","SVR KMBSO","lyrics","hindi","1","classification","accuracy",0.9395,"mean"
"37","agarwal2021an","not specified","SVR KMBSO","song","ismir2012","1","classification","precision",0.996,"mean"
"38","agarwal2021an","not specified","SVR KMBSO","karaoke","ismir2012","1","classification","sensitivity",0.9913,"mean"
"39","agarwal2021an","not specified","SVR KMBSO","lyrics","ismir2012","1","classification","f1",0.9908,"mean"
"40","agarwal2021an","not specified","SVR KMBSO","song","NJUV1","1","classification","specificity",0.9929,"mean"
"41","agarwal2021an","not specified","SVR KMBSO","karaoke","NJUV1","1","classification","fpr",0.9895,"mean"
"42","agarwal2021an","not specified","SVR KMBSO","lyrics","NJUV1","1","classification","error",0.9858,"mean"
"43","agarwal2021an","not specified","SVR KMBSO","song","hindi","1","classification","accuracy",0.992,"mean"
"44","agarwal2021an","not specified","SVR KMBSO","karaoke","hindi","1","classification","precision",0.9855,"mean"
"45","agarwal2021an","not specified","SVR KMBSO","lyrics","hindi","1","classification","sensitivity",0.9805,"mean"
"46","agarwal2021an","not specified","SVR KMBSO","song","ismir2012","1","classification","f1",0.4,"mean"
"47","agarwal2021an","not specified","SVR KMBSO","karaoke","ismir2012","1","classification","specificity",0.87,"mean"
"48","agarwal2021an","not specified","SVR KMBSO","lyrics","ismir2012","1","classification","fpr",9.23,"mean"
"49","agarwal2021an","not specified","SVR KMBSO","song","NJUV1","1","classification","error",0.71,"mean"
"50","agarwal2021an","not specified","SVR KMBSO","karaoke","NJUV1","1","classification","accuracy",1.05,"mean"
"51","agarwal2021an","not specified","SVR KMBSO","lyrics","NJUV1","1","classification","precision",1.45,"mean"
"52","agarwal2021an","not specified","SVR KMBSO","song","hindi","1","classification","sensitivity",0.92,"mean"
"53","agarwal2021an","not specified","SVR KMBSO","karaoke","hindi","1","classification","f1",1.42,"mean"
"54","agarwal2021an","not specified","SVR KMBSO","lyrics","hindi","1","classification","specificity",1.95,"mean"
"55","agarwal2021an","not specified","SVR KMBSO","song","ismir2012","1","classification","fpr",0.0121,"mean"
"56","agarwal2021an","not specified","SVR KMBSO","karaoke","ismir2012","1","classification","error",0.026,"mean"
"57","agarwal2021an","not specified","SVR KMBSO","lyrics","ismir2012","1","classification","accuracy",0.0277,"mean"
"58","agarwal2021an","not specified","SVR KMBSO","song","NJUV1","1","classification","precision",0.0212,"mean"
"59","agarwal2021an","not specified","SVR KMBSO","karaoke","NJUV1","1","classification","sensitivity",0.0318,"mean"
"60","agarwal2021an","not specified","SVR KMBSO","lyrics","NJUV1","1","classification","f1",0.0424,"mean"
"61","agarwal2021an","not specified","SVR KMBSO","song","hindi","1","classification","specificity",0.0243,"mean"
"62","agarwal2021an","not specified","SVR KMBSO","karaoke","hindi","1","classification","fpr",0.0437,"mean"
"63","agarwal2021an","not specified","SVR KMBSO","lyrics","hindi","1","classification","error",0.0583,"mean"
"64","alvarez2023ri","spotify","random forest","spotify","spotify","model comparison","classification","accuracy",0.8875,"mean"
"65","alvarez2023ri","spotify","random forest","spotify","acousticBrainz","model validation","classification","f1",0.72475,"mean"
"66","alvarez2023ri","spotify","random forest","spotify","spotify","model comparison","classification","precision",0.83,"mean"
"67","alvarez2023ri","spotify","random forest","spotify","acousticBrainz","model validation","classification","recall",0.69675,"mean"
"68","alvarez2023ri","spotify","random forest","spotify","spotify","model comparison","classification","accuracy",0.873075,"mean"
"69","alvarez2023ri","spotify","random forest","spotify","acousticBrainz","model validation","classification","f1",NA,"mean"
"70","alvarez2023ri","spotify","random forest","spotify","spotify","model comparison","classification","precision",0.80685,"mean"
"71","alvarez2023ri","spotify","random forest","spotify","acousticBrainz","model validation","classification","recall",NA,"mean"
"72","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","valence","r2",0.293,"mean"
"73","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","arousal","r2",0.26,"mean"
"74","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","valence","vector distance",0.538,"mean"
"75","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","valence","vector distance",0.625,"sd"
"76","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","arousal","vector distance",0.08,"mean"
"77","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","arousal","vector distance",0.08,"sd"
"78","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","av","vector distance",0.06,"mean"
"79","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","av","vector distance",0.06,"sd"
"80","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","av","classification",0.08,"mean"
"81","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","valence","r2",0.07,"mean"
"82","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","arousal","r2",0.05,"mean"
"83","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","valence","vector distance",0.05,"mean"
"84","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","valence","vector distance",0.12,"sd"
"85","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","arousal","vector distance",0.12,"mean"
"86","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","arousal","vector distance",0.06,"sd"
"87","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","av","vector distance",0.06,"mean"
"88","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","av","vector distance",0.584,"sd"
"89","bai2017mu","various","random forest regression","ReliefF","MediaEval","1","av","classification",0.592,"mean"
"90","wang2022cr","various","pls","mixed","chineseClassicalEnsembles","1","valence","r2",0.85,"r2"
"91","wang2022cr","various","pls","mixed","chineseClassicalSolo","1","valence","q2",0.64,"q2"
"92","wang2022cr","various","pls","mixed","westernClassicalEnsembles","1","valence","pc1",0.62,"pc1"
"93","wang2022cr","various","pls","mixed","westernClassicalSolo","1","valence","pc2",0.8,"pc2"
"94","wang2022cr","various","pls","mixed","chineseClassicalEnsembles","1","tension arousal","r2",0.73,"r2"
"95","wang2022cr","various","pls","mixed","chineseClassicalSolo","1","tension arousal","q2",0.3,"q2"
"96","wang2022cr","various","pls","mixed","westernClassicalEnsembles","1","tension arousal","pc1",0.4,"pc1"
"97","wang2022cr","various","pls","mixed","westernClassicalSolo","1","tension arousal","pc2",0.64,"pc2"
"98","wang2022cr","various","pls","mixed","chineseClassicalEnsembles","1","energy arousal","r2",0.36,"r2"
"99","wang2022cr","various","pls","mixed","chineseClassicalSolo","1","energy arousal","q2",0.22,"q2"
"100","wang2022cr","various","pls","mixed","westernClassicalEnsembles","1","energy arousal","pc1",0.23,"pc1"
"101","wang2022cr","various","pls","mixed","westernClassicalSolo","1","energy arousal","pc2",0.25,"pc2"
"102","wang2022cr","various","pls","mixed","chineseClassicalEnsembles","1","valence","r2",0.14,"r2"
"103","wang2022cr","various","pls","mixed","chineseClassicalSolo","1","valence","q2",0.16,"q2"
"104","wang2022cr","various","pls","mixed","westernClassicalEnsembles","1","valence","pc1",0.17,"pc1"
"105","wang2022cr","various","pls","mixed","westernClassicalSolo","1","valence","pc2",0.14,"pc2"
"106","wang2022cr","various","pls","mixed","chineseClassicalEnsembles","1","tension arousal","r2",0.77,"r2"
"107","wang2022cr","various","pls","mixed","chineseClassicalSolo","1","tension arousal","q2",0.54,"q2"
"108","wang2022cr","various","pls","mixed","westernClassicalEnsembles","1","tension arousal","pc1",0.6,"pc1"
"109","wang2022cr","various","pls","mixed","westernClassicalSolo","1","tension arousal","pc2",0.77,"pc2"
"110","wang2022cr","various","pls","mixed","chineseClassicalEnsembles","1","energy arousal","r2",0.62,"r2"
"111","wang2022cr","various","pls","mixed","chineseClassicalSolo","1","energy arousal","q2",0.17,"q2"
"112","wang2022cr","various","pls","mixed","westernClassicalEnsembles","1","energy arousal","pc1",0.44,"pc1"
"113","wang2022cr","various","pls","mixed","westernClassicalSolo","1","energy arousal","pc2",0.64,"pc2"
"114","wang2022cr","various","pls","mixed","chineseClassicalEnsembles","1","valence","r2",0.35,"r2"
"115","wang2022cr","various","pls","mixed","chineseClassicalSolo","1","valence","q2",0.21,"q2"
"116","wang2022cr","various","pls","mixed","westernClassicalEnsembles","1","valence","pc1",0.28,"pc1"
"117","wang2022cr","various","pls","mixed","westernClassicalSolo","1","valence","pc2",0.27,"pc2"
"118","wang2022cr","various","pls","mixed","chineseClassicalEnsembles","1","tension arousal","r2",0.21,"r2"
"119","wang2022cr","various","pls","mixed","chineseClassicalSolo","1","tension arousal","q2",0.17,"q2"
"120","wang2022cr","various","pls","mixed","westernClassicalEnsembles","1","tension arousal","pc1",0.14,"pc1"
"121","wang2022cr","various","pls","mixed","westernClassicalSolo","1","tension arousal","pc2",0.14,"pc2"
"122","wang2022cr","various","pls","mixed","chineseClassicalEnsembles","1","energy arousal","r2",0.91,"r2"
"123","wang2022cr","various","pls","mixed","chineseClassicalSolo","1","energy arousal","q2",0.76,"q2"
"124","wang2022cr","various","pls","mixed","westernClassicalEnsembles","1","energy arousal","pc1",0.81,"pc1"
"125","wang2022cr","various","pls","mixed","westernClassicalSolo","1","energy arousal","pc2",0.9,"pc2"
"126","wang2022cr","various","pls","mixed","chineseClassicalEnsembles","1","valence","r2",0.87,"r2"
"127","wang2022cr","various","pls","mixed","chineseClassicalSolo","1","valence","q2",0.5,"q2"
"128","wang2022cr","various","pls","mixed","westernClassicalEnsembles","1","valence","pc1",0.7,"pc1"
"129","wang2022cr","various","pls","mixed","westernClassicalSolo","1","valence","pc2",0.87,"pc2"
"130","wang2022cr","various","pls","mixed","chineseClassicalEnsembles","1","tension arousal","r2",0.37,"r2"
"131","wang2022cr","various","pls","mixed","chineseClassicalSolo","1","tension arousal","q2",0.21,"q2"
"132","wang2022cr","various","pls","mixed","westernClassicalEnsembles","1","tension arousal","pc1",0.29,"pc1"
"133","wang2022cr","various","pls","mixed","westernClassicalSolo","1","tension arousal","pc2",0.27,"pc2"
"134","wang2022cr","various","pls","mixed","chineseClassicalEnsembles","1","energy arousal","r2",0.14,"r2"
"135","wang2022cr","various","pls","mixed","chineseClassicalSolo","1","energy arousal","q2",0.12,"q2"
"136","wang2022cr","various","pls","mixed","westernClassicalEnsembles","1","energy arousal","pc1",0.14,"pc1"
"137","wang2022cr","various","pls","mixed","westernClassicalSolo","1","energy arousal","pc2",0.16,"pc2"
"138","xie2020mu","openSMILE","pls","baseline features","100songs","1","arousal","rmse",0.146,"rmse"
"139","xie2020mu","openSMILE","pls","stc","100songs","1","valence","rmse",0.149,"rmse"
"140","xie2020mu","openSMILE","pls","baseline features and stc","100songs","1","arousal","r",0.144,"r"
"141","xie2020mu","openSMILE","pcr","baseline features","100songs","1","valence","r",0.147,"r"
"142","xie2020mu","openSMILE","pcr","stc","100songs","1","arousal","rmse",0.15,"rmse"
"143","xie2020mu","openSMILE","pcr","baseline features and stc","100songs","1","valence","rmse",0.144,"rmse"
"144","xie2020mu","openSMILE","ff","baseline features","openSMILE","ff","arousal","r",0.172,"r"
"145","xie2020mu","openSMILE","ff","stc","100songs","1","valence","r",0.179,"r"
"146","xie2020mu","openSMILE","ff","baseline features and stc","100songs","1","arousal","rmse",0.165,"rmse"
"147","xie2020mu","openSMILE","pls","baseline features","100songs","1","valence","rmse",0.156,"rmse"
"148","xie2020mu","openSMILE","pls","stc","100songs","1","arousal","r",0.156,"r"
"149","xie2020mu","openSMILE","pls","baseline features and stc","100songs","1","valence","r",0.151,"r"
"150","xie2020mu","openSMILE","pcr","baseline features","100songs","1","arousal","rmse",0.156,"rmse"
"151","xie2020mu","openSMILE","pcr","stc","100songs","1","valence","rmse",0.157,"rmse"
"152","xie2020mu","openSMILE","pcr","baseline features and stc","100songs","1","arousal","r",0.15,"r"
"153","xie2020mu","openSMILE","ff","baseline features","openSMILE","ff","valence","r",0.169,"r"
"154","xie2020mu","openSMILE","ff","stc","100songs","1","arousal","rmse",0.172,"rmse"
"155","xie2020mu","openSMILE","ff","baseline features and stc","100songs","1","valence","rmse",0.158,"rmse"
"156","xie2020mu","openSMILE","pls","baseline features","100songs","1","arousal","r",0.785,"r"
"157","xie2020mu","openSMILE","pls","stc","100songs","1","valence","r",0.775,"r"
"158","xie2020mu","openSMILE","pls","baseline features and stc","100songs","1","arousal","rmse",0.793,"rmse"
"159","xie2020mu","openSMILE","pcr","baseline features","100songs","1","valence","rmse",0.781,"rmse"
"160","xie2020mu","openSMILE","pcr","stc","100songs","1","arousal","r",0.77,"r"
"161","xie2020mu","openSMILE","pcr","baseline features and stc","100songs","1","valence","r",0.793,"r"
"162","xie2020mu","openSMILE","ff","baseline features","openSMILE","ff","arousal","rmse",0.732,"rmse"
"163","xie2020mu","openSMILE","ff","stc","100songs","1","valence","rmse",0.73,"rmse"
"164","xie2020mu","openSMILE","ff","baseline features and stc","100songs","1","arousal","r",0.754,"r"
"165","xie2020mu","openSMILE","pls","baseline features","100songs","1","valence","r",0.601,"r"
"166","xie2020mu","openSMILE","pls","stc","100songs","1","arousal","rmse",0.6,"rmse"
"167","xie2020mu","openSMILE","pls","baseline features and stc","100songs","1","valence","rmse",0.63,"rmse"
"168","xie2020mu","openSMILE","pcr","baseline features","100songs","1","arousal","r",0.612,"r"
"169","xie2020mu","openSMILE","pcr","stc","100songs","1","valence","r",0.585,"r"
"170","xie2020mu","openSMILE","pcr","baseline features and stc","100songs","1","arousal","rmse",0.634,"rmse"
"171","xie2020mu","openSMILE","ff","baseline features","openSMILE","ff","valence","rmse",0.57,"rmse"
"172","xie2020mu","openSMILE","ff","stc","100songs","1","arousal","r",0.551,"r"
"173","xie2020mu","openSMILE","ff","baseline features and stc","100songs","1","valence","r",0.609,"r"
"174","xu2021us","librosa","random forest regression","audio","psic3839","1","arousal","r2",0.629,"r2"
"175","xu2021us","librosa","random forest regression","audio","psic3839","1","arousal","rmse",0.147,"rmse"
"176","xu2021us","librosa","random forest regression","audio","psic3839","1","valence","r2",0.371,"r2"
"177","xu2021us","librosa","random forest regression","audio","psic3839","1","valence","rmse",0.214,"rmse"
